ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
100905,2024-03-01,2.5,-0.14916965652594655,0,-0.15966613756613757,0.01049648104019103,0
100905,2024-04-01,2.15,-0.15164181971617113,0,-0.16240529100529102,0.010763471289119905,0
100905,2024-05-01,1.94,-0.1531291931970474,0,-0.16390740740740742,0.010778214210360005,0
100905,2024-06-01,1.93,-0.15324028641162796,0,-0.1639957671957672,0.010755480784139246,0
100905,2024-07-01,2.06,-0.15227457629391056,0,-0.1633772486772487,0.011102672383338145,0
100905,2024-08-01,1.89,-0.1535369045346439,0,-0.16461428571428574,0.011077381179641854,0
100905,2024-09-01,1.99,-0.1527717286045962,0,-0.16381904761904761,0.011047319014451423,0
100905,2024-10-01,2.03,-0.15250675164858496,0,-0.1648793650793651,0.012372613430780124,0
100905,2024-11-01,2.1,-0.1520047956155833,0,-0.16434920634920636,0.012344410733623063,0
100905,2024-12-01,4.98,-0.1314404518349486,0,-0.14376137566137567,0.01232092382642709,0
100905,2025-01-01,4.69,-0.13347050419500614,0,-0.14651136964569011,0.013040865450683985,0
100905,2025-02-01,4.89,-0.1320820010674299,0,-0.1450983606557377,0.013016359588307788,0
100905,2025-03-01,7.82,-0.11118289467037748,0,-0.12416816499206769,0.012985270321690215,0
100905,2025-04-01,4.4,-0.13557462225259181,0,-0.14933738762559493,0.013762765373003123,0
100905,2025-05-01,4.82,-0.13259700979144423,0,-0.14633474352194606,0.013737733730501828,0
100905,2025-06-01,6.27,-0.1222065481705505,0,-0.13829825489159175,0.016091706721041252,0
100905,2025-07-01,6.31,-0.12191176394116404,0,-0.13820994182971974,0.01629817788855569,0
100905,2025-08-01,7.61,-0.11263432099286615,0,-0.12893707033315707,0.016302749340290922,0
100905,2025-09-01,10.12,-0.09470532589714635,0,-0.1110095187731359,0.016304192875989554,0
100905,2025-10-01,9.85,-0.09666850967416558,0,-0.11127445795875199,0.014605948284586402,0
100905,2025-11-01,12.47,-0.07794882091396163,0,-0.09255208884188261,0.014603267927920984,0
100905,2025-12-01,14.58,-0.0628497684324073,0,-0.07745055526176627,0.014600786829358968,0
100905,2026-01-01,25.17,0.012760598241075017,0,-0,0.012760598241075017,0
100905,2026-02-01,17.37,-0.04291435041838797,0,-0.05758011634056055,0.014665765922172587,0
101001,2019-01-01,NA,NA,NA,-0,NA,NA
101001,2019-02-01,NA,NA,0,-0.11252406417112301,NA,NA
101001,2019-03-01,NA,NA,0,-0.1597663101604278,NA,NA
101001,2019-04-01,NA,NA,0,-0.16057005347593584,NA,NA
101001,2019-05-01,NA,NA,0,-0.15842673796791443,NA,NA
101001,2019-06-01,NA,NA,0,-0.1506572192513369,NA,NA
101001,2019-07-01,NA,NA,0,-0.1398513368983957,NA,NA
101001,2019-08-01,NA,NA,0,-0.13154598930481284,NA,NA
101001,2019-09-01,NA,NA,0,-0.13047433155080215,NA,NA
101001,2019-10-01,NA,NA,0,-0.1317245989304813,NA,NA
101001,2019-11-01,NA,NA,0,-0.13994064171122997,NA,NA
101001,2019-12-01,16.88,-0.046416621711761426,0,-0.08872153928380545,0.04230491757204403,0
101001,2020-01-01,29.62,0.044560364611714726,0,-0,0.044560364611714726,0
101001,2020-02-01,28.47,0.036358913828065685,0,-0,0.036358913828065685,0
101001,2020-03-01,28.48,0.0363650110637851,0,-0,0.0363650110637851,0
101001,2020-04-01,28.52,0.03665960613213267,0,-0,0.03665960613213267,0
101001,2020-05-01,28.51,0.03662643179408459,0,-0,0.03662643179408459,0
101001,2020-06-01,24.34,0.006821964816816354,0,-0.02978003203416978,0.036601996850986133,0
101001,2020-07-01,15.44,-0.056738372490753856,0,-0.0932632140950347,0.03652484160428084,0
101001,2020-08-01,16.13,-0.05183787571660224,0,-0.088359316604378,0.03652144088777576,0
101001,2020-09-01,16.78,-0.047154897463928945,0,-0.08461452215696744,0.03745962469303849,0
101001,2020-10-01,17.78,-0.040038288445705256,0,-0.07667912439935932,0.03664083595365407,0
101001,2020-11-01,19.2,-0.02988268665840186,0,-0.06651468232781635,0.03663199566941449,0
101001,2020-12-01,22.81,-0.004129412680422134,0,-0.039944474105712766,0.03581506142529063,0
101001,2021-01-01,27.27,0.02775399718435062,0,-0,0.02775399718435062,0
101001,2021-02-01,27.27,0.027753442847660337,0,-0,0.027753442847660337,0
101001,2021-03-01,16.48,-0.04930541936291436,0,-0.07704290254237289,0.02773748317945853,0
101001,2021-04-01,18.69,-0.03353392839475085,0,-0.056433262711864406,0.022899334317113558,0
101001,2021-05-01,22.01,-0.009832170180446308,0,-0.03272775423728814,0.02289558405684183,0
101001,2021-06-01,24.16,0.0055578244304862225,0,-0.017336864406779662,0.022894688837265885,0
101001,2021-07-01,22.72,-0.0047070410694907035,0,-0.022909427966101695,0.01820238689661099,0
